,heading,text
512,Michael Avenatti Implicates Kavanaugh in Pattern of Teenage Sexual Assault,"Michael Avenatti, the lawyer for Stormy Daniels, says he is “aware of significant evidence” that Supreme Court nominee Judge Brett Kavanaugh participated in multiple gang rapes while in high school."
513,Avenatti: New client will go public with Kavanaugh accusations by Wednesday,"Michael Avenatti, the lawyer who says he has ""credible information"" about more sexual misconduct allegations against Supreme Court nominee Brett Kavanaugh, said Monday that he expects his new client will appear for an on-camera interview within the next 48 hours."
514,Journalists Trash Porn Star Attorney for His Dubious Kavanaugh Allegations,"Michael Avenatti, the TV-friendly attorney for porn star Stormy Daniels, has never exactly enjoyed popularity among political journalists. But his favor has dipped even further amid new allegations against Supreme Court nominee Brett Kavanaugh that he dumped into the news cycle Sunday night."
515,McConnell backs bill to ease up on hemp cultivation,"Mitch McConnell will introduce legislation to allow states to regulate their own hemp industries, a move that could be a boon to the Senate majority leader should he pursue reelection in 2020."
516,McConnell bill would legalize hemp as agricultural product,Senate Majority Leader Mitch McConnell (R-Ky.) announced a new bill on Monday that would legalize hemp as an agricultural product.
517,Mitch McConnell will introduce a bill to greenlight hemp production,"Sen. Mitch McConnell, the Republican majority leader from Kentucky, is promoting new legislation to legalize hemp and remove it from the list of controlled substances."
518,Trump’s new HHS office will protect health care workers who object to abortion,The new “Conscience and Religious Freedom” division is being cheered by the religious right.
519,"Trump administration creates new religious, moral protections for health workers","The Trump administration has created new protections for health workers who have religious and moral objections to certain procedures, such as abortion or assisted suicide."
520,Trump Administration Creates Office To Protect Health Care Workers From Violating Religious Convictions,The Department of Health and Human Services (DHHS) announced Thursday it created a new division in charge of protecting health care workers so they don’t have to provide services that go against their religious or moral convictions.
521,"Civil War: As Sanders Racks Up Wins, Democratic Race Getting Ugly","Lots of recriminations and pearl-clutching on the Left yesterday and today after Bernie Sanders channeled Marco Rubio and called Hillary Clinton unqualified to be president. This, after Clinton tied Sanders' heterodoxies on gun rights to the Sandy Hook massacre of elementary school children. A very tame race is getting a bit heated, as Leah noted earlier. Watch:"
522,Bernie Sanders: Hillary Clinton is not 'qualified' to be president,"Bernie Sanders said Wednesday that Hillary Clinton is not ""qualified"" to be president, a sharp escalation in rhetoric in the Democratic primary."
523,Sanders ticks off ways Clinton not ‘qualified’ to be president,"Democratic presidential hopeful Bernie Sanders on Wednesday said that he does not believe Hillary Clinton is qualified to be president based on her acceptance of special-interest money, her support of free trade and her vote for the Iraq War."
524,Obama ties legacy to Iran nuclear deal,"President Barack Obama on Thursday effectively placed his diplomatic legacy largely in the hands of Iranian revolutionary clerics who've waged a proxy war against the U.S. for three decades.
With a framework deal to halt Tehran's nuclear program, Obama moved closer to the kind of staggering diplomatic breakthrough with the Islamic Republic that would have been unthinkable just a few years ago.
If the political agreement reached in Switzerland turns into a genuine pact honored by both sides, Obama will be entitled to a place in history as the leader..."
525,US reportedly backed down on initial goals in Iran talks,"U.S. negotiators reportedly lowered the bar for their own goals during talks over Iran's nuclear program in response to resistance from the Tehran team. And, on the heels of a framework deal being announced in Switzerland, France's top diplomat on Friday admitted his country had initially held out for firmer terms.
The emerging reports indicate the U.S. team, led by Secretary of State John Kerry, gradually backed down over the course of the talks as Iran's delegation dug in. The Wall Street Journal, citing current and former U.S. representatives..."
526,A Foreign Policy Gamble by Obama at a Moment of Truth,"On the day he took office, President Obama reached out to America’s enemies, offering in his first inaugural address to “extend a hand if you are willing to unclench your fist.” More than six years later, he has arrived at a moment of truth in testing that proposition with one of the nation’s most intransigent adversaries.
The framework nuclear agreement he reached with Iran on Thursday did not provide the definitive answer to whether Mr. Obama’s audacious gamble will pay off. The fist Iran has shaken at the so-called Great..."
527,Iowa Might Have Screwed Up The Whole Nomination Process,"In trying to build a forecast model of the Democratic primaries, we literally had to think about the entire process from start (Iowa) to finish (the Virgin Islands on June 6). Actually, we had to do more than that. Since the nomination process is sequential — states vote one at a time rather than all at once — we had to determine, empirically, how much the results of one state can affect the rest.
The answer in the case of Iowa is that it matters a lot. Despite its demographic..."
528,Iowa’s Democratic Disaster,"On the menu today, Iowa’s Democrats give America a night it will never forget, for all the wrong reasons, while Republicans have a delightfully boring and predictable caucus night.
The Night the Iowa Caucus Died
For Iowa Democrats, the night of February 3, 2020 will forever rank among the greatest disappointments, frustrations, and purely enraging humiliations of their lives. As of 6:35 a.m. Eastern this morning, the Iowa Democratic Party simply . . . cannot tabulate the votes!
The delay is baffling, as anyone should be able to do this..."
529,"With Polls Up and Acquittal in Sight, Trump Revels in Democratic Dysfunction","WASHINGTON — When President Trump looks back on his best days in the White House, Tuesday may land near the top of the list.
With Democrats in disarray at the start of their nominating season, Mr. Trump will take the national stage to address his largest audience of the year assured of acquittal in his Senate trial and enjoying his highest public approval since taking office.
For a president impeached for high crimes and misdemeanors just seven weeks ago, he finds himself in a strikingly strong position as his re-election..."
530,"As An Indigenous Woman, I Always Hate Thanksgiving. This Year I’m Terrified Of It.","I used to think it was enough, every Thanksgiving, to post Wednesday Addams’ famous Thanksgiving monologue. Like most Indian kids across the country, when I first saw “Addams Family Values,” I delighted in the speech delivered by the iconic little outcast. It was one of the first times I remember feeling seen in pop culture as she rants about the realities of reservations and settler/colonial violence, about selling beaded bracelets by the roadside. Her statement about living in mobile homes resonated so intensely with me that I think my 10-year-old..."
531,Thanksgiving Is Not a Lie,"We live in a time of heedless iconoclasm, and so one of the country’s oldest traditions is under assault.
Thanksgiving is increasingly portrayed as, at best, based on falsehoods and, at worst, a whitewash of genocide against Native Americans.
The New York Times ran a piece the other day titled, “The Thanksgiving Myth Gets a Deeper Look This Year,” bristling with hostility toward the day of gratitude and noting that “the holiday arrives in the midst of a national struggle over racial justice.” (The paper is admirably consistent — a..."
532,"400 years after 'First Thanksgiving,' tribe that fed the Pilgrims fights for survival","Depending on where you grew up and went to school, you probably learned a different version of the first Thanksgiving.
Generally, it goes something like this: The Pilgrims were facing a rough winter in Massachusetts when a tribe of Native Americans came to their aid, showing them how to plant native crops and forging a future of peace and cooperation between the two groups. In some stories, the Pilgrims gave them something in return (the details vary).
""I think the only way forward is to understand the history the..."
533,Leftists Decry Fake University ICE Sting Practiced During Obama Administration,"The fake University of Farmington, set up by the Department of Homeland Security, that resulted in the arrest of 250 foreign students this year and prompted outrage from leftists, was a concept embraced by the Obama administration, which engaged in similar operations.
Leftists experienced a collective freakout this week after U.S. Immigration and Customs Enforcement (ICE) announced the arrest of dozens of foreign nationals committing visa fraud by enrolling in the fake university. It was “part of a sting operation by federal agents who enticed foreign-born students, mostly from India,..."
534,"ICE set up a fake university, then arrested 250 people granted student visas","It has been 10 months since unsealed federal court documents revealed that U.S. immigration officials created a fake university to lure foreign-born college students who were trying to stay in the country on student visas that might not have been legal.
The University of Farmington, a fictitious school that U.S. Immigration and Customs Enforcement marketed as a hub for STEM students who wanted to enroll and not “interrupt their careers,” had a fake name, a fake website and a fake motto on its fake seal. “Scientia et Labor,” the seal..."
535,ICE arrests 90 more foreign students at fake university created by DHS in Michigan,"DETROIT – About 90 additional foreign students at a fake university in metro Detroit created by the Department of Homeland Security have been arrested in recent months.
A total of about 250 students have now been arrested since January on immigration violations by U.S. Immigration and Customs Enforcement as part of a sting operation by federal agents who enticed foreign-born students, mostly from India, to attend the school that marketed itself as offering graduate programs in technology and computer studies, according to ICE officials.
Many of those arrested have..."
536,West Hollywood passes resolution to remove President Trump's Hollywood Walk of Fame star,"The West Hollywood City Council passed a resolution Monday night asking to have President Trump's star removed from the Hollywood Walk of Fame, according to a tweet by the city’s mayor."
537,"Dig up Trump's Hollywood Walk of Fame star, councilors urge",Two men with pickaxes have tried and failed to remove U.S. President Donald Trump’s star from the Hollywood Walk of Fame but now it is West Hollywood City Council’s turn.
538,West Hollywood Urges Removal of Trump’s Walk of Fame Star (It’s a Long Shot),West Hollywood badly wants to remove President Trump’s star from the Hollywood Walk of Fame.
539,‘I don’t know John Lewis’: Trump bashes deceased civil rights leader for skipping his inauguration,"As three former presidents gathered in Atlanta last week to offer stirring tributes to John Lewis, President Trump was absent. In an interview that aired Monday night, Trump had few kind words of his own for the former Democratic congressman and civil rights leader, who died July 17.
Asked by interviewer Jonathan Swan how history would remember Lewis’s contributions to the nation, Trump demurred.
“I don’t know. I don’t know John Lewis,” Trump said in the “Axios on HBO” interview. “He chose not to come to my inauguration.”"
540,"Exclusive: Trump declines to praise John Lewis, citing inauguration snub","President Trump dismissed the legacy of the late Rep. John Lewis in an interview with “Axios on HBO,” saying only that Lewis made a “big mistake” by not coming to his inauguration.
The big picture: Trump's comments were a glaring contrast with the praise Republicans and Democrats showered upon Lewis this week, and a default to personal grudges during a week of mourning for a civil rights hero.
Driving the news: In the interview with Axios’ Jonathan Swan, Trump said, “I really don't know” how history will remember the Democratic..."
541,"Trump withholds praise for John Lewis, notes he 'didn't come to my inauguration'","President Trump, in a wide-ranging interview with ""Axios on HBO"" that aired Monday night, refused to praise late civil rights icon and Rep. John Lewis, citing Lewis' decision not to attend his inauguration and State of the Union speeches.
Interviewer Jonathan Swan repeatedly challenged Trump on topics ranging from the increasing number of coronavirus cases when he held his indoor and largely maskless rally in Tulsa, Okla., to Afghanistan to mail-in voting. Swan also asked Trump his opinion of Lewis.
""John Lewis is lying in state at the U.S. Capitol...."
542,"N.S.A. Breached North Korean Networks Before Sony Attack, Officials Say","The trail that led American officials to blame North Korea for the destructive cyberattack on Sony Pictures Entertainment in November winds back to 2010, when the National Security Agency scrambled to break into the computer systems of a country considered one of the most impenetrable targets on earth.
Spurred by growing concern about North Korea’s maturing capabilities, the American spy agency drilled into the Chinese networks that connect North Korea to the outside world, picked through connections in Malaysia favored by North Korean hackers and penetrated directly into the North..."
543,NSA program reportedly helped US gather evidence against North Korea in Sony hack,"A program implemented by the National Security Agency to help the U.S. and its allies track the computers and networks used by North Korean hackers was critical in gathering information that led Washington to conclude Pyongyang was behind last year's cyberattack on Sony Pictures.
The New York Times reported late Sunday that the NSA began placing malware in North Korean systems in 2010. Originally, the purpose of the surveillance was to gain insight into North Korea's nuclear program, but the focus shifted after a large cyberattack on South Korean banks..."
544,Corruption Currents: NSA Helped Link North Korea to Sony Hack,"Daiichi Sankyo Inc. agreed to pay $39 million to settle allegations it violated the False Claims Act by paying kickbacks to induce physicians to prescribe the firm’s drugs. (press release)
Bahamian officials are looking for a way into the investigation of Alstom SAALO.FR -0.09%. (Nassau Guardian)"
545,"Joint session 2017: Why isn't Trump's speech called a ""State of the Union"" address?","On Tuesday night, President Donald Trump will deliver an address to a joint session of Congress in Washington, the biggest speech he’s given since his inaugural address back on Jan. 20."
546,President Trump goes to Congress to make a sale,Donald Trump needs to make a sale.
547,Trump’s First Address to Congress: What to Expect,"For President Donald Trump, big rallies are the wind in his sails. At his first address to a joint session of Congress, he'll have a grand stage, but the crowd can be tough."
548,"No, the CDC did not ‘quietly adjust’ US coronavirus deaths","Over the weekend, President Donald Trump shared two posts that falsely claimed COVID-19 deaths are not as high as previously thought.
The posts claimed that the Centers for Disease Control and Prevention updated its COVID-19 death numbers to show that only 9,210 Americans have died from the virus. Twitter removed the first tweet for violating its rules. Another post from Jenna Ellis, a senior legal adviser for the Trump campaign, linked to a story from the Gateway Pundit, a conservative news site. That tweet was still up as of..."
549,Twitter Removes Claim About CDC And Covid-19 Coronavirus Deaths That Trump Retweeted,"When you see “only 6%” trending on Twitter, the next obvious question is “only 6% of what?” Only 6% of dogs wear shoes? Only 6% of cats are plotting to stage a coup d'état in your house? Only 6% of what Tinder profiles say is true?
Nope. Various Tweets were pulling the 6% number from the following passage on the “Provisional Death Counts for Coronavirus Disease 2019 (COVID-19)” page on the Centers for Disease Control and Prevention (CDC) website:
“Table 3 shows the types of health conditions and contributing causes..."
550,94% of Americans who died from COVID-19 had contributing conditions: CDC,"Ninety-four percent of Americans who died from COVID-19 had other “types of health conditions and contributing causes” in addition to the virus, according to a new CDC report.
Using provisional data on coronavirus-related deaths from the week ending Feb. 1 through Aug. 22, the Centers for Disease Control and Prevention concluded last week that “for 6 percent of the deaths, COVID-19 was the only cause mentioned.”
“For deaths with conditions or causes in addition to COVID-19, on average, there were 2.6 additional conditions or causes per death,” the report said."
551,Same-sex couples to wed in Alabama despite efforts to block them,"Federal courts have cleared the way for same-sex marriages to begin in Alabama on Monday, but in a last-ditch effort to stop the weddings, the famously conservative chief justice of the state Supreme Court has instructed probate judges not to issue marriage licenses to same-sex couples."
552,Alabama begins issuing marriage licenses to gay couples,"Alabama began issuing marriage licenses to same-sex couples Monday, despite an 11th-hour attempt from the state's chief justice -- an outspoken opponent -- to block the weddings."
553,Alabama Chief Justice asks officials to defy gay marriage ruling,"With same-sex marriages set to begin in Alabama on Monday, the state’s firebrand Supreme Court chief justice has ordered local officials to deny marriage licenses to gay couples."
554,OPINION: The real terror threat in America is homegrown,"The mass killing in Orlando this weekend fits a grim pattern: Every lethal terrorist attack in the United States in the past decade and a half has been carried out by American citizens or legal permanent residents, operating either as lone wolves or in pairs, who have no formal connections or training from terrorist organizations such as al Qaeda or ISIS."
555,OPINION: The Scope of the Orlando Carnage,"These locations are never random. These targets aren’t accidental. They’re the very vocabulary in which assailants like the Orlando gunman speak, and he chose a place where there’s drinking. And dancing. And where L.G.B.T. people congregate, feeling a sense of welcome, of belonging."
556,The Orlando Horror and Hard Truths,"The Orlando massacre is sickening and frightening. It's sickening on its face: Dozens of innocent people were shot to death by a remorseless, merciless fanatic on Saturday night, executed for the 'crime' of carousing with friends at an establishment that caters to a clientele despised by their killer. It's frightening because this horror was not perpetrated by masked men shouting slogans in an unfamiliar tongue thousands of miles away."
557,"Missouri police officer shoots, kills man who pulled gun","A suburban St. Louis police officer shot and killed a man who pointed a gun at him at a gas station late Tuesday, police said."
558,"Video Shows Moments Before Police Shooting Near Ferguson, Missouri","A man was shot and killed by a police officer Tuesday in Berkeley, Missouri, authorities said -- sparking new unrest in a region already reeling following an August police shooting a few miles away in Ferguson."
559,Missouri Police Officer Kills Man Who Pulled Gun,"The police-involved shooting death of an allegedly armed black man in a St. Louis suburb on Tuesday led to small protests, scuffles with police and four arrests overnight, according to police."
560,The Equal Rights Un-Amendment,"Three states have gone to court to get an amendment added to the Constitution. House Democrats plan a vote in support of this scheme. What the Left is attempting to do here is to subvert Article V of the Constitution — the part that spells out the proper way to amend the Constitution — in order to make it easier for liberal judges to impose their policy preferences on the nation.
The purpose of the Equal Rights Amendment is to put seemingly innocuous language into the Constitution — declaring men..."
561,"No, the Equal Rights Amendment is not a 'feminist handout'","On the day Virginia officially voted to ratify the Equal Rights Amendment earlier this month, becoming the crucial 38th state to do so, I listened to a male colleague explain his opposition to what he deemed ""feminist"" messaging—specifically, a political campaign touting the fact that a woman was first to accomplish something in her field. A ""feminist"" angle, he argued, was anything but persuasive to a general audience.
""It's a turnoff,"" he said. ""Just another woman looking for a handout.""
A familiar flurry of rage spun in my chest. Why..."
562,"Bless Virginia for passing the Equal Rights Amendment, but blame women for taking this long","Enough women — and men — have chosen political ideology over protecting gender equality, and that’s shameful.
Last week, Virginia became the 38th state to pass the Equal Rights Amendment — which would be enough to finally ratify the amendment. But enough women and men have snubbed it for nearly five decades that now this milestone may already be legally DOA.
“In so many areas, we still have a long way to go,” Democratic Virginia state Sen. Jennifer McClellan said.
No kidding.
McClellan, one of the ERA’s sponsors, was..."
563,Supreme Court Refuses to Hear Arizona Abortion Appeal,"The Supreme Court has rejected Arizona's bid to put in place its ban on most abortions after 20 weeks of pregnancy.
The justices on Monday declined to reconsider a lower-court ruling that the law violates a woman's constitutionally protected right to terminate a pregnancy before a fetus is able to survive outside the womb.
""Viability"" of a fetus is gen"
564,Supreme Court won’t revive Arizona’s strict abortion rules,"The Supreme Court declined Monday to revive an Arizona law that would have prohibited most abortions after a pregnancy had reached 20 weeks.
The court, as is its custom, gave no reason for declining to review a decision by the U.S. Court of Appeals for the 9th Circuit that the law was unconstitutional because it violated standards set by the justices 40 years ago in Roe v. Wade."
565,Arizona's 20-Week Abortion Ban Rejected by Supreme Court,"Each time the pro-life movement celebrates a victory, it seems it then has to face another setback. That is no truer than the past year. Now, on the heels of good news such as Justice Sotomayor’s decision to delay the contraception mandate for some of the nation’s religious employers, comes a backward decision from her and her fellow justices."
566,Zelensky calls on West to ban all Russian travelers,"The way to stop Russia from annexing any more of Ukraine’s territory, President Volodymyr Zelensky said Monday, is for Western countries to announce that they would ban all Russian citizens in response.
In a wide-ranging interview with The Washington Post, Zelensky said that “the most important sanctions are to close the borders — because the Russians are taking away someone else’s land.” He said Russians should “live in their own world until they change their philosophy.”
Russian leaders have signaled they could hold annexation votes in the occupied parts of..."
567,Ukraine’s Zelensky calls for travel ban on Russians entering Western nations,"Ukrainian President Volodymyr Zelensky is urging Western governments to bar Russians from entering their countries — declaring that they ought to “live in their own world until they change their philosophy.”
The leader of the besieged country made the request in an interview on Monday with the Washington Post as the Pentagon announced another $1 billion aid package to Ukraine.
Zelensky told the newspaper that “the most important sanctions are to close the borders — because the Russians are taking away someone else’s land.”
But the Washington Post noted that some have said..."
568,Kyiv urges travel ban on Russians as Moscow steps up assault in eastern Ukraine,"Ukraine’s president called on the West to impose a blanket travel ban on Russians, an idea that has found support among some European states but angered Moscow, which pressed on with a fierce military offensive in eastern Ukraine.
President Volodymyr Zelenskiy’s idea looked likely to divide the European Union, where differences on how to deal with Moscow have long persisted between some eastern and western members.
Zelenskiy made his proposal in an interview with the Washington Post as Ukraine halted flows of Russian oil to some eastern European countries due..."
569,Illegal ballot harvesting caused a do-over House election in North Carolina. What are the pros and cons?,"A U.S. House special election in North Carolina’s 9th congressional district on Tuesday is essentially a do-over after a candidate’s 2018 victory was negated by allegations of illegal ballot harvesting. The election could flip a longtime Republican district, and has shifted national attention to the issue of ballot harvesting, the arguments in favor of and against it, and how different states regulate the practice.
Republican Mark Harris appeared to beat Democrat Dan McReady by 905 votes in the initial election last year, winning a seat in the House of Representatives...."
570,Trump unloads on 'disloyal' Democratic House candidate at fiery rally ahead of pivotal North Carolina special election,"High stakes were matched by some of President Trump's harshest campaign rhetoric yet at a rally in Fayetteville, N.C., on Monday night, with just hours to go until voters there head to the polls in a pivotal toss-up special election that will decide the winner of a long-contested -- and long-vacant -- House seat.
""To stop the far-left, you must vote in tomorrow's special election,"" Trump told attendees, before slamming Democratic candidate Dan McCready as a dangerous proponent of ""sanctuary cities"" and rolling back gun rights.
""Just recently, Mecklenburg County..."
571,North Carolina House race carries unlikely hangover from fraud scandal,"CHARLOTTE, N.C. — The closely-watched special U.S. House election being held here Tuesday is taking place in the shadow of a political scandal that, according to the candidates, is having a real impact on the race.
But this time around, the issue is not the illegal ballot harvesting that marred last year's contest, it's the fact the one of the candidates has been effectively running for over two years.
Democratic candidate Dan McCready likes to tell his supporters that he began running for the 9th Congressional District seat when his..."
572,Obama Set for Limited Strike on Syria as British Vote No,"President Obama is ready to pursue a limited military strike even with a rejection of such action by Britain and mounting questions from Congress,officials said."
573,U.S. officials say options under consideration in Syria would not require a coalition to be effective,U.S. officials say the options under consideration in Syria are smaller scale and would not require a coalition to be effective.
574,"Obama may go solo with Syria strike; U.S., British lawmakers voice opposition","President Obama and his top aides tried to rally support Thursday for retaliatory strikes in Syria, saying they remain convinced that the Assad regime used chemical weapons, but hopes for an international coalition took a major hit when the British Parliament voted against military action."
575,"Inflation rises 7.9% in February, a new 40-year high","Inflation hit a fresh 40-year high in February, largely driven by higher gas prices. 
The consumer price index climbed 7.9% on an annual basis, according to data released on Thursday by the Bureau of Labor Statistics. Month-over-month, inflation rose 0.8%.
The year-over-year reading is in-line with estimates and compares with an annual 7.5% jump in January, marking the fastest increase since February 1982, when inflation hit 7.6%.
Gas jumped 6.6% in February and accounted for almost a third of price hikes. Food rose by 1%."
576,Inflation up 7.9 percent in February compared to last year as price rises grip U.S. economy,"  Inflation kept up its blistering pace in February, and economists say Russia’s invasion of Ukraine is triggering even steeper price increases this month. 
The Labor Department reported Thursday that the Consumer Price Index, or CPI — a broad basket of goods and services — continued to rise, increasing by 0.8 percent in February, or 7.9 percent year over year, on track with economists’ expectations. 
Core inflation rose by 0.5 percent for the month. The core inflation metric includes prices of goods and services from rent to airline tickets to..."
577,U.S. February Consumer Prices Rose 7.9% From Year Earlier,"U.S. inflation climbed to a 7.9% annual rate in February, another four-decade high, as skyrocketing energy and commodity prices related to the Russian invasion of Ukraine pushed already-elevated costs higher.
The Labor Department’s consumer-price index, which measures the cost of goods and services across the economy, was at its highest rate since January 1982, when annual inflation was 8.4%.
Rising energy prices, including higher gasoline prices, helped push up the inflation reading, along with increases for groceries, restaurant food, transportation services and apparel. Economists expect additional price increases related to the..."
578,Pressure on Fed to raise interest rates as US inflation surges to 30-year high,"Pressure on America’s central bank to raise interest rates has intensified after rising energy costs, supply shortages and increased consumer sent US inflation surging to a level not seen for more than 30 years.
Although the Federal Reserve has repeatedly insisted price pressures will prove “transitory”, financial markets were taken aback by a 6.2% increase in the cost of living in the world’s biggest economy over the past year.
A labour department report released on Wednesday showed prices rose by 0.9% in October alone – more than double the 0.4% jump in September –..."
579,"Inflation spikes as prices surge 6.2 percent, most in over 30 years","Inflation continued to surge last month — with prices rising more than expected and at the fastest pace in more than 30 years as companies grapple with a snarled supply chain and a nationwide labor shortage, the feds announced Wednesday.
The Labor Department’s Consumer Price Index, which measures a basket of goods and services as well as energy and food costs, jumped 6.2 percent in October from a year earlier.
That’s up from September’s 5.4 percent year-over-year rise in prices and is the biggest 12-month rise since 1990."
580,"U.S. consumer prices jump 6.2% in October, the biggest inflation surge in more than 30 years","Inflation across a broad swath of products that consumers buy every day was even worse than expected in October, hitting its highest point in more than 30 years, the Labor Department reported Wednesday.
The consumer price index, which is a basket of products ranging from gasoline and health care to groceries and rents, rose 6.2% from a year ago, the most since December 1990. That compared with the 5.9% Dow Jones estimate.
On a monthly basis, the CPI increased 0.9% against the 0.6% estimate.
Stripping out volatile food and energy..."
581,Italians Vote in Election that May Overturn EU Order,"Italians are voting Sunday in an election which could change the face of the European Union, with a right-populist coalition of anti-mass migration, eurosceptic parties tipped to win a parliamentary majority.
Giorgia Meloni’s Brothers of Italy (FdI), Matteo Salvini’s League (Lega), and three-time former prime minister Silvio Berlusconi’s Forza Italy are tipped by pollsters to come out on top in Sunday’s election, paving the way for the first government in a national conservative vein similar to Poland and Hungary in Western Europe.
All three party leaders are eurosceptics, if not..."
582,Italy election: Will far-right prevail for first time since WII?,"Italians cast their ballots in a national election that could bring the country’s most right-wing government to power since World War II.
The electoral campaign kicked off after political infighting led to the collapse of outgoing Prime Minister Mario Draghi’s government in July. Sunday’s election takes place against the background of an energy crisis, widespread voter disillusionment and questions about Italy’s future stance towards the European Union.
“I hope something will change for the better, but I am not very confident,” retiree Marinella Faccioli, 75, told Al Jazeera after casting..."
583,Italy votes as far-right Meloni looks for victory,"Italians are deciding whether to choose their most right-wing government since World War Two, in an election being followed closely across Europe.
Giorgia Meloni leads the far-right Brothers of Italy party and is aiming to become the country's first female prime minister allied with two other parties on the right.
She has softened her image and resents being linked to Italy's fascist past.
Almost 51 million Italians have the right to vote until 23:00 (21:00 GMT).
By midday, turnout was more than 19%, similar to the last election four years..."
584,Hurricane Irma takes direct aim at Florida,"Floridians clogged highways in a desperate scramble to get out of Hurricane Irma's crosshairs, as the deadly Category 4 storm took direct aim at the southern United States, shifting westward Friday as the worst case scenario became the most-likely situation."
585,"Irma menaces Bahamas and Cuba, on course toward Florida","Hurricane Irma menaced Cuba and the Bahamas on Friday as it drove toward Florida after lashing the Caribbean with devastating winds and torrential rain, killing 19 people and leaving a swathe of catastrophic destruction."
586,Hurricane Irma tears through Caribbean islands and is on collision course with Florida,Hurricane Irma’s deadly fury threatened to swamp low-lying islands of the Bahamas with a possible 20-foot storm surge Friday as the massive storm moved toward Florida’s doorstep packing the potential to ravage the state with destruction not seen in a generation.
587,Kamala Harris Is Biden’s VP Pick — Here’s What It Means For The Election And Beyond,"Former Vice President and presumptive Democratic nominee Joe Biden announced Sen. Kamala Harris as his running mate today. Here’s a look at what this choice means and … what it doesn’t.
It’s a historic choice, with the potential for even more history to be made.
Harris is the first Asian American and the first Black woman in American history to be a general election candidate for president or vice president for either of the two major political parties. (Harris’s mother was born in India, her father in Jamaica. They..."
588,Sen. Kamala D. Harris named as Joe Biden’s running mate,"Presumptive Democratic nominee Joe Biden has chosen Sen. Kamala D. Harris (D-Calif.) as his running mate, elevating a former presidential candidate whose most electric campaign performance came when she criticized his record on school integration during a debate.
Harris will be the first Black woman and first Asian American to run for vice president, representing a historic choice at a moment when the country is grappling with its racial past and future. The announcement was made in a text and a tweet from Biden.
“Back when Kamala was Attorney General,..."
