,heading,text
10,"Pharmacies risk violating civil rights laws if they deny access to drugs that can be used for abortion, HHS says","The Health and Human Services Department on Wednesday warned U.S. retail pharmacies that they risk violating civil rights law if they deny access to medication used in abortions under certain circumstances.
The HHS Office for Civil Rights said pharmacies cannot deny access to prescription medication used for reproductive health care on the basis of the customer’s sex, pregnancy status and other protected groups under federal discrimination laws.
This may include the prescription of the abortion pill, mifepristone used in combination with misoprostol, to assist with first-trimester miscarriages. The medication can..."
11,HHS warns pharmacies denying abortion pills violates anti-discrimination law,"The Biden administration is warning retail pharmacies against denying patients abortion-inducing medication, saying this would violate anti-discrimination laws by withholding healthcare from pregnant people.
The Department of Health and Human Services’s Office for Civil Rights has released guidelines reinforcing the Obamacare law that warns more than 60,000 U.S. pharmacies against refusing to dispense abortion-inducing medication, stipulating that doing so is pregnancy discrimination. That includes discrimination based on current pregnancy, past pregnancy, potential or intended pregnancy, and medical conditions related to pregnancy or childbirth.
“HHS is committed to ensuring that everyone can access healthcare, free of discrimination,”..."
12,One American flag flies': Pence defends barring pride flags on U.S. embassy flagpoles,"Vice President Mike Pence voiced support Monday for the Trump administration's move to prohibit U.S. embassies from flying the rainbow pride flag on their flagpoles during LGBTQ Pride Month, telling NBC News that ""it's the right decision.""
In an interview with White House correspondent Kristen Welker, Pence confirmed an exclusive report from NBC News that said the State Department had rejected requests from at least four U.S. embassies to fly the flag during June. Pence said he was aware the State Department had said the American flag was the only..."
13,Mike Pence says banning pride flags at US embassies is 'the right decision',"In a Monday evening television interview, Vice President Mike Pence confirmed reports that American embassies had been banned from flying the pride flag on their embassy flagpoles.
In an interview with NBC News, Pence said, “I’m aware that the State Department indicated that on the flagpole of our American embassies that one flag should fly, and that’s the American flag, and I support that.""
The Trump administration came under fire at the beginning of June for allegedly banning U.S. embassies from flying the pride flag. American diplomats told NBC..."
14,Pence confirms Trump administration denied US embassy requests to fly Pride flag,"Vice President Mike Pence on Monday confirmed that the Trump administration denied requests from U.S. embassies around the world to display a rainbow flag to celebrate LGBTQ Pride Month.
""I'm aware that the State Department indicated that on the flag pole of our American embassies that one flag should fly, and that's the American flag, and I support that,"" Pence told NBC News in an interview released Monday.
Pence's remarks come days after the news outlet first reported that the Trump administration was rejecting requests from U.S. embassies to fly..."
15,"Trump tweets mock video of himself tackling, punching CNN logo","President Donald Trump stepped up his feud with the media on Sunday by tweeting a mock video of himself tackling and repeatedly striking a man with a CNN logo super-imposed in place of his head, followed by a logo saying ""Fraud News Network."""
16,"Trump Body Slams ""#FraudNewsCNN"" in His Latest Assault Tweet","President Trump's morning attack tweet was aimed at perennial enemy, CNN, and he's taken it to a new level."
17,Trump Marks Independence Day Weekend With Fantasy About Beating Up Journalists,"During his raucous campaign rallies, Trump often incited protests and violence against reporters."
18,President Obama to vow: No nuclear Iran,"The recent wave of violent, anti-American protests that a movie trailer has inspired in the Muslim world is not aimed solely at the United States but the entirety of the civilized world, President Barack Obama plans to say Tuesday morning in a speech at the United Nations."
19,Obama urges UN to reject 'violence and intolerance' amid Mideast unrest,"President Obama, facing questions at home concerning his administration's handling of the deadly attacks in Libya and growing anti-American violence, plans to tell a gathering of world leaders at the U.N. that unrest in the Middle East and North Africa marks a critical juncture -- a choice in the region between hope and intolerance."
20,"Time is not unlimited' on Iran, Obama to tell U.N.","The United States will ""do what we must"" to prevent Iran from developing a nuclear weapon, President Barack Obama is expected to tell the United Nations General Assembly Tuesday in a speech that will also touch heavily on the death of U.S. Ambassador Christopher Stevens in Libya."
21,"Biden says federal workers must be vaccinated or undergo regular testing, masks and social distancing","President Biden announced Thursday that he will require all federal workers to be vaccinated against the coronavirus or submit to frequent testing.
Biden laid out a plan incentivizing Americans to take the vaccine, including paid time off to get vaccinated and $100 payments to Americans who get vaccinated, paid for by government. The president also said that federal workers will be forced to take the vaccine or be required to be tested regularly.
""It's time to impose requirements on key groups to make sure they are vaccinated,"" Biden said. ""Every federal government employee..."
22,"Biden announces measures to incentivize Covid-19 vaccinations, including a requirement for federal employees","President Joe Biden on Thursday announced a number of new steps his administration will take to try to get more Americans vaccinated and slow the spread of coronavirus, including requiring that all federal employees must attest to being vaccinated against Covid-19 or face strict protocols.
The new measures come amid a rise in Covid-19 hospitalizations and deaths in the US. The vast majority of those individuals with severe cases of Covid-19 are unvaccinated.
""This is an American tragedy. People are dying -- and will die -- who don't have to die. If you're out..."
23,"Biden sets broad new vaccine, mask guidelines for millions of federal workers","Federal workers and onsite contractors will have to show proof of vaccination against COVID-19 or wear masks, practice social distancing and submit to regular testing under sweeping new guidelines the White House announced on Thursday.
The measures are U.S. President Joe Biden's latest effort to spur some reluctant Americans to get vaccinated as the Delta variant of the coronavirus ravages the unvaccinated in particular.
Government employees who do not show they have been vaccinated will be subject to weekly or twice-weekly COVID-19 tests and restrictions on official travel.
""The administration..."
24,Incoming Palestinian Harvard freshman has his visa REVOKED at Boston airport after he was 'questioned for five hours and officials found anti-US political social media posts by his friends',"An incoming Harvard freshman from Palestine was allegedly interrogated by immigration officials for five painstaking hours then had his visa rescinded after landing in Boston because they found his friends on social media shared anti-US political posts.
Ismail B. Ajjawi, a 17-year-old Palestinian student who lives in Tyre, Lebanon, landed at Boston Logan International airport on Friday night in anticipation of starting his freshman year at Harvard University.
But his Ivy League career, in which he intended to study in Chemical and Physical Biology, ended before it even began when..."
25,A Palestinian Freshman Arrived in the U.S. to Study at Harvard. Immigration Officials Revoked His Visa and Deported Him.,"With classes scheduled to start next week, incoming Harvard freshman Ismail B. Ajjawi, like many of his fellow students, was set to arrive on campus for the first time this week. But the 17-year-old Palestinian’s hard-won education at perhaps the world’s preeminent university is now in doubt. American immigration officials stopped Ajjawi, a Palestinian resident of Tyre, Lebanon, at Boston Logan International Airport on Friday night, the Crimson reports, where he was held in custody for eight hours and subjected to invasive questioning by a female immigration officer, who then..."
26,Harvard freshman deported after officials review friends' social media posts: report,"U.S. officials turned away a 17-year-old Palestinian incoming Harvard freshman last week after he was questioned about his friends’ social media posts, according to the Harvard Crimson.
The 17-year-old, a resident of Tyre, Lebanon, was deported about eight hours after arriving at Logan International Airport in Boston and said in a written statement obtained by the Crimson that immigration officials questioned him for hours and searched his phone and computer."
27,Violence Escalates As Protests Over George Floyd Death Continue,"Protesters staged large-scale demonstrations across the country on Sunday, expressing outrage at the death of George Floyd in Minneapolis and, more broadly, anger at police brutality. Some cities, including Minneapolis, Atlanta and Seattle, saw clashes with police, buildings and cars set afire, and looting.
By evening, many demonstrations had given way to another night of violence and destruction, with protesters ignoring curfews imposed in dozens of cities. Police used tear gas and stun grenades and fired rubber bullets in attempts to disperse the crowds.
Floyd, a 46-year-old black man, died..."
28,Another night of fire and fury as protests rage across America,"Pockets of the United States descended into chaos Sunday as another day of mass demonstrations over the death of yet another black man in police custody led to another night of fire and fury.
Protests that began peacefully exploded into mayhem as windows were smashed, stores were looted, buildings were vandalized and police vehicles were torched. The unrest spread from Chicago, Atlanta and Boston to Sacramento, Seattle and Sioux Falls, S.D. As protesters and police clashed outside the White House for a third consecutive night, President Trump tweeted a call..."
29,"Rioting, looting linked to George Floyd protests leaves trail of destruction across American cities","American cities are spending Monday morning digging out from scenes of destruction after demonstrations against the police-involved death of George Floyd gave way to a fifth straight night of looting and rioting, resulting in another wave of arrests.
As of Monday morning, at least 4,400 people have been taken into custody nationwide in relation to the chaos, according to an Associated Press tally. Meanwhile, countless more business owners whose livelihoods already have been impacted by the coronavirus pandemic are finding their stores damaged and ransacked.
“It's one of the most..."
30,"Trump, campaign aides sent email accessing WikiLeaks documents: Report","President Trump and others in his campaign operation received an email with the encryption key and website address for WikiLeaks documents, according to a CNN exclusive report on Friday."
31,Email shows effort to give Trump campaign WikiLeaks documents,"Candidate Donald Trump, his son Donald Trump Jr. and others in the Trump Organization received an email in September 2016 offering a decryption key and website address for hacked WikiLeaks documents, according to an email provided to congressional investigators."
32,Wikileaks sent Trump private access and a decryption key to emails weeks before they were released,"CNN is reporting that the Trump campaign—including candidate Donald Trump, Donald Trump Jr., and others—were offered access to Wikileaks documents, including special access to a Wikileaks website, a month before Wikileaks began publishing documents stolen from John Podesta’s account to the public."
33,‘Follow the money’: MSNBC contributor blows the lid off Trump’s personal stake in drug he’s pushing as COVID-19 cure,"President Donald Trump has been raising questions by his dogged endorsement of an unproven treatment for the coronavirus — and his motivations appear to be more financial than medical.
Trump admits he’s not a doctor — which, of course, he’s not — but MSNBC’s Joe Scarborough and the Washington Post‘s Eugene Robinson are among many wondering whether the president is trying to boost the market for the antimalarial drug hydroxychloroquine.
“As ‘Deep Throat’ never actually said, follow the money,” Robinson said, quoting the apocryphal advice from the undercover source who..."
34,"Trump Has ‘Small,’ ‘Distant Link’ To Sanofi, French Drugmaker Of Hydroxychloroquine","Topline: President Trump—increasingly a booster of hydroxychloroquine as a potential treatment for coronavirus—has a “small personal financial interest” in Sanofi, a French drugmaker that produces a brand-name version of the drug—though it’s a tiny investment for the billionaire.
Sanofi produces Plaquenil, the brand-name form of hydroxychloroquine, the New York Times reported; the drug is typically used to treat rheumatoid arthritis, lupus and malaria.
Trump’s three family trusts have investments in a Dodge & Cox mutual fund, with Sanofi as the largest holding, according to the Times.
Forbes estimates..."
35,Trump’s personal stake in the malaria-drug maker Sanofi could be as small as $99,"As President Donald Trump has persistently discussed the malaria drug hydroxychloroquine, critics have wondered about his motivation, given the drug’s far-from-certain performance on the global stage as a treatment for coronavirus, and the Food and Drug Administration’s refusal so far to approve it as a treatment for COVID-19.
The New York Times says Trump has a “small personal stake” in Sanofi, the French drug manufacturer that produces the drug.
The report doesn’t say how small, but it notes that his three family trusts have investments in a Dodge & Cox..."
36,"North Korea Denies Hack Involvement, Demands Probe","North Korea said U.S. accusations that it was involved in a cyberattack on Sony Pictures were ""groundless slander"" and demanded a joint investigation with the U.S. into the incident.
An unnamed spokesman of the North's foreign ministry said there would be ""grave consequences"" if Washington refused to agree to the joint probe and continued to accuse Pyongyang, the official KCNA news agency reported Saturday.
On Friday, President Barack Obama blamed North Korea for the devastating cyberattack, which led to the Hollywood studio cancelling ""The Interview"", a comedy on the..."
37,North Korea orders joint probe into Sony hacking,"North Korea is proposing a joint investigation with the U.S. to look into the massive cyberattack against Sony Pictures Entertainment.
On Saturday, a spokesman for North Korea's Foreign Ministry in Pyongyang promised ""grave consequences"" if the U.S. does not agree to a joint investigation.
""The U.S. should bear in mind that it will face serious consequences in case it rejects our proposal for joint investigation and presses for what it called countermeasures while finding fault"" with North Korea, the spo"
38,Obama Vows a Response to Cyberattack on Sony,"President Obama said on Friday that the United States “will respond proportionally” against North Korea for its destructive cyberattacks on Sony Pictures, but he criticized the Hollywood studio for giving in to intimidation when it withdrew “The Interview,” the satirical movie that provoked the attacks, before it opened.
Deliberately avoiding specific discussion of what kind of steps he was planning against the reclusive nuclear-armed state, Mr. Obama said that the response would come “in a place and time and manner that we choose.” Speaking at a White House news conference..."
39,Obama tells Ohioans he champions the middle,"In a speech his campaign billed as a reset after a series of stumbles and a string of bad economic news, President Obama stuck to a long-established script Thursday with the only new line shifting the onus on voters to break open the partisan deadlock in Washington."
40,"Obama, Romney Duel On Economy In Ohio Where It Could All Be Decided Categories",Ohio could very well be the state where what's expected to be a very close presidential race gets decided.
41,"Dueling speeches: Obama, Romney target Ohio","Dueling from down the road, President Obama and Republican rival Mitt Romney on Thursday will offer deeply contrasting visions for how to fix the sluggish economy, framing in their most direct terms the fierce, fundamental choice that will decide the November election."
42,"National Guard troops kicked out of Senate are back in Capitol following outrage from lawmakers, public","National Guard troops forced to move out of the Capitol complex Thursday evening have been allowed to return following an outpouring of outrage from lawmakers and the public.
“Brig. Gen. Janeen Birckhead, Inauguration Task Force Commander, confirms that troops are out of the garage and back into the Capitol building as authorized by the USCP Watch Commander and the troops will take their breaks near Emancipation Hall going forward,” according to a statement to Military Times by Air Force Maj. Matthew Murphy, a National Guard Bureau spokesman. “Our troops are..."
43,National Guard break time in Capitol-area parking garage gets lawmakers fuming,"""Garage kept"" may be great for classic cars -- but for National Guard members it may be disrespectful.
Reports of shabby treatment of National Guard troops at the U.S. Capitol were sparking bipartisan outrage among lawmakers and other officials Thursday -- with Texas Gov. Greg Abbott calling for the return home of his state's Guard members.
Thousands of National Guard troops from several states had deployed to the U.S. Capitol to protect Wednesday's inauguration of President Biden against threats of violence following the Jan. 6 riot.
Photos of Guard members..."
44,National Guard allowed back into Capitol complex after lawmakers erupt at banishment to parking garage,"Members of the National Guard have been allowed back into the Capitol Complex after a slate of lawmakers voiced their outrage at guardsmen being banished to a parking garage as a rest area, a guardsman told CNN.
The Guard will now be allowed to rest in the US Capitol Visitor Center, the guardsman said.
The change comes after thousands of National Guardsmen were moved to a parking garage after they were told they could no longer use space within the US Capitol Complex, including areas like the cafeteria of a..."
45,"After Pledging to Decriminalize Illegal Border Crossings, Harris Will Lead Border Crisis Response","Vice President Kamala Harris, who less than a year ago expressed support for decriminalizing illegal border crossings, will spearhead the White House's response to the crisis at the southern border.
President Joe Biden said Wednesday that he can ""think of nobody who is better qualified"" to handle the situation than Harris, who he said ""speaks for me."" The decision comes as the White House struggles to deal with a historic surge in border apprehensions. U.S. Border Patrol agents are currently detaining more than 600 unaccompanied migrant children per day, far..."
46,Vice President Harris will oversee effort to resolve problems at U.S.-Mexico border,"President Joe Biden, whose administration is grappling with overcrowding at migrant facilities on the southern border, tasked Vice President Kamala Harris on Wednesday with leading efforts to coordinate with Mexico and the Central American nations of Guatemala, Honduras and El Salvador.
The assignment marks Harris’ first major policy role since she was sworn in in January.
“I can think of nobody who is better qualified to do this” than Harris, the president said at the White House. “When she speaks, she speaks for me, doesn’t have to check with me.”..."
47,Biden assigning Harris to lead diplomatic efforts in Central America to address immigration,"President Joe Biden is tasking Vice President Kamala Harris with overseeing efforts with Central American countries to stem the flow of migrants to the US southern border, the first major issue Biden has assigned directly to his No. 2.
""I asked her, the VP, today, because she's the most qualified person to do it, to lead our efforts with Mexico and the Northern Triangle, and the countries that can help, need help in stemming the movement of so many folks, stemming the migration to our southern border,"" Biden told reporters..."
48,U.S. Inflation Hits New Four-Decade High of 9.1%,"U.S. inflation reached 9.1% in June, its highest rate in nearly 41 years, the Labor Department said.
The consumer-price index’s pace for June eclipsed May’s annual rate of 8.6% that led Federal Reserve officials to shift to a faster pace of benchmark interest-rate increases, according to meeting minutes released last week.
Core prices, a measure that strips out volatile food and energy components, increased by 5.9% in June from a year ago, a slightly slower pace than May’s 6%, the Labor Department said Wednesday. On a month-to month basis, core prices..."
49,"US Inflation Quickens to 9.1%, Amping Up Fed Pressure to Go Big","US inflation roared again to a fresh four-decade high last month, likely strengthening the Federal Reserve’s resolve to aggressively raise interest rates that risks upending the economic expansion.
The consumer price index rose 9.1% from a year earlier in a broad-based advance, the largest gain since the end of 1981, Labor Department data showed Wednesday. The widely followed inflation gauge increased 1.3% from a month earlier, the most since 2005, reflecting higher gasoline, shelter and food costs.
Economists projected a 1.1% rise from May and an 8.8% year-over-year increase, based..."
50,"Inflation jumps to 9.1%, highest in four decades","Inflation accelerated to an explosive 9.1% for the 12 months ending in June, according to the consumer price index, the highest level in four decades.
The much-anticipated numbers reported by the Bureau of Labor Statistics on Wednesday revealed that inflation is still soaring, despite the Federal Reserve's interest rate hikes, and is near the worst it has been since the Great Inflation that helped bring President Ronald Reagan to office.
The soaring inflation has eaten into President Joe Biden’s approval ratings as the midterm elections approach. Consumer prices have been rising fast since last August, especially for..."
51,"Rising Pace of Hiring Adds to Optimism, but Wages Lag","The outlook for the economy became sunnier on Friday after the Labor Department reported that employers added 295,000 workers in February, far exceeding expectations, and also recorded a drop in the unemployment rate. The data, though, offered disappointing results for wage growth, which for months has barely budged."
52,"US added 295,000 jobs in February as unemployment rate dips to 5.5 percent",The Labor Department said Friday that the unemployment rate fell to 5.5 percent from 5.7 percent. But the decline in the rate occurred mainly because some people out of work stopped looking for jobs and were no longer counted as unemployed.
53,"U.S. Adds Jobs at Steady Clip, but Wage Growth Remains Soft","U.S. employers added jobs at a solid pace in February and the unemployment rate ticked down, signs of a strengthening labor market that should keep the Federal Reserve on track to raise interest rates this year."
54,China expands its amphibious forces in challenge to U.S. supremacy beyond Asia,"China launched its military build-up in the mid-1990s with a top priority: keep the United States at bay in any conflict by making the waters off the Chinese coast a death trap. Now, China’s People’s Liberation Army (PLA) is preparing to challenge American power further afield.
China’s shipyards have launched the PLA Navy’s first two Type 075 amphibious assault ships, which will form the spearhead of an expeditionary force to play a role similar to that of the U.S. Marine Corps. And like the Marines, the new force will be..."
55,"US Closes China's Houston Consulate, China Considers Wuhan Retaliation","The U.S. said Wednesday that it has ordered China to close its consulate in Houston ""to protect American intellectual property and American's private information."" As a result, China is reportedly considering ordering the U.S. Consulate in Wuhan shuttered.
China condemned the move, which comes at a time of rising tensions between the world's two largest economies. Foreign Ministry spokesperson Wang Wenbin called it ""an outrageous and unjustified move that will sabotage relations between the two countries.""
He warned of firm countermeasures if the U.S. does not reverse its decision, which..."
56,US defense chief pushes allied effort to challenge China,"United States Defense Secretary Mark Esper said Tuesday that Washington is counting on Asian partners to help rein in an increasingly aggressive China, as two of the US Navy's most powerful warships conducted drills with allies in the Indian and Pacific oceans.
Esper accused Beijing of bullying nations around the Pacific, depriving countries with claims in the South China Sea of fishing rights and trillions of dollars of oil and gas revenue. He also accused China of ""brazen disregard of international commitments.""
""Make no mistake, the CCP (Chinese Communist Party)..."
57,Europe’s heatwave moves north as UK braces for hottest day on record,"Firefighters continued to battle blazes in southern Europe as searing temperatures moved north and Britain braced for what could be its hottest day on record.
Expectations are now high that on Tuesday the British record of 38.7C could be broken and 40C breached for the first time, with experts blaming climate change and predicting more frequent extreme weather to come.
Temperatures are also forecast to rise above 35C in the Netherlands while neighbouring Belgium is expected to hit 40C and over.
In France, a host of towns and cities recorded their highest-ever temperatures..."
58,UK heatwave sees highest-ever temperatures recorded,"The UK has recorded a temperature of over 40C (104F) for the first time - as the heat continues to rise.
Thermometers hit 40.2C at London Heathrow at 12.50 BST, breaking a record temperature of 39.1C in Charlwood, Surrey, registered earlier.
But Tuesday's temperatures are expected to climb higher still, with places along the A1/M1 corridor expected to see up to 42C later.
Scotland is also expected to surpass its historic reading of 32.9C.
In Wales, Rhyl, Flintshire, recorded 33.4C at 11:00 BST.
The Met Office has issued a red..."
59,UK braces for record-breaking temperatures as heatwave plunges Brits into chaos,"Brits are bracing for record-breaking highs on Tuesday as temperatures are expected to soar to 104 degrees — surpassing the previous record of 101 degrees recorded in 2019.
A national “state of emergency” was declared this week, with the UK’s Meteorological Office issuing a “threat to life” warning across the country as a result of the heat.
The UK recorded its warmest night on record at 77 degrees on Monday.
At least five people, including three teenagers, drowned across the country in rivers, lakes, and reservoirs while trying to cool..."
60,Fact-checking President Trump’s news conference,"“I don’t think there’s ever been a president elected who in this short period of time has done what we’ve done.”
— President Trump, news conference, Feb. 16, 2017
We can’t quite fact check the statement above — it’s certainly open to debate what counts as achievements — but we can fact-check 15 dubious claims made by the president in his lengthy news conference. Some of these are from his greatest hits of falsehoods, which we have fact-checked many times before. The claims are addressed in the order in..."
61,Trump's marathon media-bashing presser: Did he go too far?,"It was the most extraordinary news conference ever held by a president of the United States.
It was also the harshest indictment of the media ever delivered from the White House."
62,Trump -- under fire -- returns to the campaign,President Donald Trump is taking his fate into his own hands.
63,Barr Blasts His Own Prosecutors: 'All Power Is Vested In The Attorney General',"Attorney General Bill Barr blasted his own Justice Department prosecutors as a ""permanent bureaucracy"" that all too often abuse their power to go after high-profile targets in a process he likened to ""headhunting.""
In remarks Wednesday to a largely conservative audience celebrating Constitution Day at Hillsdale College, the leader of the Justice Department asserted that he's the one who should make the big calls in cases of national interest.
""The notion that line prosecutors should make the final decisions at the Department of Justice is completely crazy,"" Barr said.
""Under..."
64,Barr says calls for coronavirus lockdown are the 'greatest intrusion on civil liberties' other than slavery in US history,"Attorney General William Barr suggested on Wednesday that the calls for a nationwide lockdown to prevent the spread of the coronavirus were the ""greatest intrusion on civil liberties"" in history ""other than slavery.""
The comments came minutes after he slammed the hundreds of Justice Department prosecutors working beneath him, equating them to preschoolers, in a defense of his own politically tuned decision making in the Trump administration.
Addressing a Constitution Day celebration hosted by Hillsdale College, the event's host asked Barr to explain the ""constitutional hurdles for forbidding a church..."
65,Barr says rumors Trump would refuse to leave office if he loses election are 'crap',"Attorney General William Barr went after Democrats this week on a range of issues, including rumors that President Trump would attempt to stay in office if he loses the general election in November.
“You know liberals project,” an uncharacteristically salty Barr told the Chicago Tribune's John Kass on Monday. “You know the president is going to stay in office and seize power and all that s---? I’ve never heard of that crap. I mean, I’m the attorney general. I would think I would have heard about it.”
Though the focus..."
66,Ukraine Refuses Russia’s Request to ‘Lay Down Arms’ and Surrender Mariupol by Monday Deadline,"Ukrainian officials said that the country has rejected Russia’s demand to surrender the eastern port city of Mariupol by 5 a.m. Moscow time on March 21 in exchange for safe passage of residents out of the city.
“There can be no question of any surrender, laying down of arms,” the Ukrainska Pravda news portal cited Ukraine’s Deputy Prime Minister Iryna Vereshchuk as saying. “We have already informed the Russian side about this.”
“I wrote: ‘Instead of wasting time on eight pages of letters, just open the corridor.'”
Earlier on Sunday, Pyotr Andryushenko, who..."
67,Ukraine rejects Russian demand for surrender in Mariupol,"Ukrainian officials defiantly rejected a Russian demand that their forces in Mariupol lay down arms and raise white flags Monday in exchange for safe passage out of the besieged strategic port city.
Even as Russia intensified its attempt to pummel Mariupol into surrender, its offensive in other parts of Ukraine has floundered. Western governments and analysts say the broader conflict is grinding into a war of attrition, with Russia continuing to bombard cities.
In the capital, Kyiv, a shopping center in the densely populated Podil district near the city center was..."
68,Ukraine rejects Kremlin’s call to surrender Mariupol amid intense street fighting,"The fate of Ukrainian port city Mariupol remained uncertain Monday, after it rejected Moscow’s ultimatum to surrender after weeks of Russian bombardments and days of street-by-street guerrilla warfare. Russia is bent on seizing Mariupol — which would be its first strategic victory in a war that appears to be approaching a stalemate in many other parts of the country — and has threatened the city with more assaults and a “military tribunal.""
Even so, Britain’s Defense Ministry said Monday that “Kyiv remains Russia’s primary military objective” and that Moscow is likely to try to..."
69,"As House GOP faces decision on its future, McConnell defends Cheney, rebukes Greene in rare set of statements","Senate Minority Leader Mitch McConnell (R-Ky.) on Monday delivered a scathing rebuke of Rep. Marjorie Taylor Greene’s actions and defended Rep. Liz Cheney’s decision to vote to impeach former president Donald Trump, weighing in for the first time on the criticism facing both lawmakers.
The statements together are both an unusual venture from a Senate leader onto the other chamber’s turf and an unmistakable signal to House Minority Leader Kevin McCarthy (R-Calif.) that, for the party’s sake, he must sideline extremists such as Greene (R-Ga.) and maintain a place for..."
70,"McConnell takes sides: Marjorie Taylor Greene theories a 'cancer' for GOP, while Cheney has 'courage'","Senate Minority Leader Mitch McConnell took sides in the two major battles in the House Republican conference this week that could influence the direction of the post-Trump Republican Party: pro-Liz Cheney, anti-Marjorie Taylor Greene.
In a rare scathing statement, McConnell said that Greene's embrace of conspiracy theories is a “cancer for the Republican Party.”
The statement from the Kentucky Republican, which did not mention the Georgia freshman congresswoman by name, comes as Greene is facing calls to be stripped of committee assignments or removed from Congress altogether in light of..."
71,"Mitch McConnell condemns Marjorie Taylor Greene's 'loony lies,' defends Liz Cheney","Senate Minority Leader Mitch McConnell on Monday went to bat for GOP Conference Chair Rep. Liz Cheney while condemning remarks from freshman Rep. Marjorie Taylor Greene.
McConnell issued a statement condemning the extremist views of Greene, whose support for QAnon and other conspiracy theories has drawn scorn from Democrats and some Republicans.
McConnell said the Georgia congresswoman's embrace of conspiracy theories and ""loony lies"" is a ""cancer for the Republican Party.""
""Somebody who's suggested that perhaps no airplane hit the Pentagon on 9/11, that horrifying school shootings were pre-staged, and..."
