,heading,text
306,Jobless Claims Fall to 3.84 Million,"New claims for unemployment benefits fell to 3.84 million in the week ended April 25, data from the Department of Labor showed Thursday.
That brings new unemployment claims, a proxy for layoffs, over the past six weeks to around 30 million. Continuing claims, those filed after the initial week of benefits, rose to just under 18 million.
Economists had expected around 3.5 million new claims.
Claims hit a record 6.87 million for the week of March 28. Each subsequent week has seen claims decline. Last week’s initially reported figure was..."
307,30 million Americans have lost their jobs in 6 weeks,"More than 3.8 million people filed initial unemployment insurance claims during the week ending April 25, according to data released by the Department of Labor on Thursday morning. That brings the total number of people applying for benefits over the previous six weeks to more than 30 million.
It’s a staggering number of people who have filed for unemployment since the coronavirus pandemic triggered nationwide shutdowns and a severe economic downturn weeks ago. In late March, the Labor Department registered 3.3 million jobless claims in a single week, shattering previous..."
308,Over 3.8 Million Americans Filed for Jobless Benefits Last Week as States Struggle With Coronavirus Claims Surge,"Connecticut was more than halfway through a multiyear modernization of its unemployment insurance system in mid-March when the coronavirus pandemic triggered a surge in claims and the state website that accepts applications froze.
Labor department personnel worked all night trying to figure out what had gone wrong and realized the website could only handle up to 8,300 applications in a single day, a fraction of what residents were now trying to submit. After fixing that problem, they tried to figure out what might break next, said Danté Bartolomeo, deputy commissioner..."
309,House approves bills tightening background checks on guns,"The House on Thursday approved two pieces of legislation aimed at strengthening background checks on firearm sales and transfers, a leading priority for Democratic lawmakers.
The Bipartisan Background Checks Act — spearheaded by Rep. Mike Thompson (D-Calif.) — looks to “utilize the current background checks process” in an attempt to ensure individuals prohibited from possessing a gun are unable to obtain one.
The bill passed by a 227-203 vote with eight Republicans backing the measure and one Democrat, Rep. Jared Golden (Maine), bucking his party to vote against it."
310,House approves gun control bills expanding background checks,"The House approved on two bills that would expand background checks on firearm sales, even though the legislation will likely stall in the Senate. These are the first significant gun control measures passed by the House since President Biden took office, after he promised to enact legislation strengthening background checks during the presidential campaign.
The Bipartisan Background Checks Act of 2021, H.R. 8, was approved with a vote of 227 to 203, with eight Republicans joining almost all Democrats in voting for the bill. Introduced by Democratic Congressman Mike Thompson,..."
311,Schumer pledges Senate vote on gun bill passed by House: 'No more ... thoughts and prayers',"Senate Majority Leader Chuck Schumer, D-N.Y., on Thursday vowed that the Senate would vote on the Bipartisan Background Checks Act of 2021, which passed the House Thursday in a 227-203 vote.
A prior version of the H.R. 8 bill, which would require background checks for all U.S. firearm purchases, passed the House in 2019 but did not receive 60 votes in the Senate to clear the filibuster.
""In the past, when they sent it over to us last time, it went into [fomer Senate Majority Leader] Mitch McConnell's legislative graveyard,""..."
312,Bipartisan U.S. lawmaker group to unveil $1.5 trillion COVID-19 aid bill,"A group of 50 Democratic and Republican members of Congress is due to unveil $1.5 trillion bipartisan coronavirus relief legislation on Tuesday, in an election year effort to break a month-long impasse in COVID-19 talks between the White House and top Democrats.
The Problem Solvers Caucus, which includes members of both parties in the House of Representatives, was set to outline the legislative package at an 11 a.m. (1500 GMT) press conference at the U.S. Capitol.
The group, which says it has been working to find common ground on coronavirus..."
313,Rank-and-file House members achieve rare bipartisan consensus in bid to press Hill leaders to cut stimulus deal,"A bipartisan group of House members is unveiling a sweeping proposal to inject up to $2 trillion in aid to the economy amid the coronavirus pandemic, a move aimed at jump-starting talks that have devolved into bitter acrimony and finger-pointing between the White House and Democratic leaders in the heat of this election year.
The proposal touches on many of the elements under discussion -- aid to small businesses and schools, a new round of checks to Americans, more jobless benefits and funding to help with the November elections --..."
314,Bipartisan lawmakers offer coronavirus relief solution in effort to break logjam,"A bipartisan group of House lawmakers Tuesday unveiled a compromise coronavirus package that worked out some of the thorniest divisions between Democrats and Republicans in an effort to jump-start relief to Americans still reeling from the health and economic crisis.
The Problem Solvers Caucus released its $1.5 trillion coronavirus plan as proof bipartisanship is still afoot and to deliver a pre-packaged solution to Republican and Democratic leadership that would meet the nation's most pressing needs for the next six to 12 months.
There's been no progress on a new coronavirus..."
315,"Chris Cuomo mum on big brother’s scandal, observers say CNN botched chance to showcase journalism standards","CNN host Chris Cuomo ignored the bombshell news Tuesday that his brother, New York Gov. Andrew Cuomo, D., was accused by the state's attorney general of sexually harassing 11 women. 
The stone silence from CNN’s most-watched host, who offered his brother advice and even drafted a statement to respond to the allegations against him in February, has some critics saying he should be taken off the air. Others feel the embattled network missed a chance to display journalism morals and ethics that have eroded in recent years. 
CNN’s Cuomo, who had awkwardly addressed the family drama on his..."
316,The Cuomo brothers: Report places a new spotlight on a unique relationship,"There's no relationship quite like it in politics or media: A pair of brothers, one governing the fourth biggest state in the country, the other hosting one of the most prominent shows on cable TV. Right now, both men are standing in a very bright spotlight.
Governor Andrew Cuomo's alleged sexual harassment and abuse of power -- documented in excruciating detail by NY AG Letitia James' report -- is leading him down an impeachment track. Chris Cuomo's role as a member of his brother's inner circle, a role that raises serious questions..."
317,"Remember, the National Media Deliberately Chose to Celebrate Andrew Cuomo","Assume, for the moment, that at the height of “Cuomosexuals” in 2020, members of the national news media did not know that Andrew Cuomo habitually and shamelessly sexual harassed women who worked for him for many years.
There was still that odd incongruence that New York state persistently ranked at or near the highest in COVID-19 deaths per million residents. And it wasn’t merely a factor of New York City getting hit first or the sheer population density. Nineteen months after the first diagnosed cases of COVID-19 in the U.S., New York still..."
318,"Trump Announces National Emergency, Expanded Testing, More Money and Flexibility on Virus Response","President Donald Trump declared a coronavirus national emergency in a speech from the White House on Friday afternoon, invoking the Stafford Act for disaster relief and emergency assistance. The step will mean billions of dollars in additional federal resources for testing, resources and the shoring up of the flailing national economy.
The president also sought to offer more reassurance about the government's efforts. In recent days, his administration has been under intense fire for conflicting messages, a sluggish national response and haphazard testing for the COVID-19 virus, which began in..."
319,Trump declares national emergency to bolster funding for fighting virus outbreak,WASHINGTON (AP) — Trump declares national emergency to bolster funding for fighting virus outbreak.
320,Here's what Trump's coronavirus emergency declaration does,"(CNN) - President Donald Trump issued a federal emergency declaration Friday afternoon over the coronavirus outbreak following a week of cancellations, suspensions and growing case numbers that unsettled Americans nationwide.
An emergency or disaster declaration from the President frees up additional money and sets the Federal Emergency Management Agency in motion.
There are two types of declarations authorized by the Stafford Act, which is the statutory authority for ""most federal disaster response activities"": emergency declarations and major disaster declarations.
The difference between the two -- both of which unlock..."
321,"Trump may have been unclear, but Sweden experiencing a migrant crime wave",Police investigator Peter Springare isn’t likely to be among those mocking President Trump for his remarks about refugees in Sweden.
322,Amusement and bemusement over Trump's remarks about 'last night in Sweden',"When U.S. President Donald Trump told supporters in Melbourne, Florida, Saturday evening that ""we've got to keep our country safe. You look at what's happening in Germany, you look at what's happening last night in Sweden,"" public attention turned to the Scandinavian country, expecting scenes of terror."
323,White House says Trump's Sweden comment referred to 'rising crime',"The White House has said Donald Trump was speaking about general “rising crime” when he seemed to describe a non-existent terror attack in Sweden on Saturday night, as the president defended his ideas about banning refugees and travel from seven Muslim-majority countries."
324,Parler CEO: Tech Companies Coordinated Plan to Close Us Down,"The silencing of conservative speech on social media has spiraled into a ""coordinated effort"" by big tech to close down Parler, according to the social media platform's CEO John Matze.
""This was a coordinated attack by the tech giants to kill the competition in the marketplace,"" Matze's statement read. ""We were too successful too fast.
""You can expect the war on competition and free speech to continue, but don't count us out. #speakfreely.""
Matze's statement comes as Amazon is removing the platform from its webservers, which might take the conservative..."
325,Amazon Is Booting Parler Off Of Its Web Hosting Service,"Amazon notified Parler that it would be cutting off the social network favored by conservatives and extremists from its cloud hosting service Amazon Web Services, according to an email obtained by BuzzFeed News. The suspension, which will go into effect on Sunday just before midnight, means that Parler will be unable to operate and will go offline unless it can find another hosting service.
People on Parler used the social network to stoke fear, spread hate, and coordinate the insurrection at the Capitol building on Wednesday. The app has recently..."
326,"Amazon to drop Parler from its web hosting service, citing violent posts","Amazon has pulled the plug on Parler, a social media app popular with Trump supporters, in the wake of the deadly U.S. Capitol riot earlier this week.
Amazon’s cloud-computing unit, Amazon Web Services (AWS), informed Parler on Saturday that it will no longer provide cloud services to the company beginning on Sunday at 11:59 p.m. PT, according to an email obtained by CNBC. AWS provides cloud services to Parler that host its website, which means that if Parler can’t locate a new cloud provider by Sunday night, the site will..."
327,"Postal Service future in question after first-ever default, lawmakers stuck on a deal","Add the Postal Service to the list of problems Congress is so far unable to fix.
America's mail service endured its first-ever default overnight, failing to submit a required $5.5 billion payment for future retirees' health benefits by Thursday.
The unprecedented lapse prompted new questions about the fate of the Postal Service as its financial situation spirals ever out of control, and Capitol Hill lawmakers have started a new round of fingerpointing after deadlocking over how to break the slide.
""Congress must act quickly in order to..."
328,Postal service can't pay its bills,The U.S. Postal Service defaults on a $5.5 billion dollar payment to the retiree fund. CNN's Athena Jones reports.
329,Pelosi to introduce resolution condemning Trump's 'go-home' comments,"House Democrats said Monday they plan to introduce a resolution condemning President Trump’s “xenophobic” comments against four freshman Democratic lawmakers, as more Republicans publicly criticized Mr. Trump for his remarks telling the Democrats to go back to their original countries.
“The House cannot allow the president’s characterization of immigrants to our country to stand,” House Speaker Nancy Pelosi told colleagues in a letter. “Our Republican colleagues must join us in condemning the president’s xenophobic tweets.”
She said a resolution will be introduced by Rep. Tom Malinowski of New Jersey, who..."
330,"As Trump doubles down on racist comments, House to vote on condemning them","President Trump's racist taunt that four congresswomen of color ""go back"" to the ""places from which they came"" unified Democrats just as they were facing one of their most serious fractures since taking control of the House.
Speaker Nancy Pelosi (D-San Francisco) said on Monday the House would vote on a resolution condemning “the president’s xenophobic tweets.” The resolution is being drafted by House Democrats who were born abroad, including Rep. Tom Malinowski (D-N.J.), who was born in communist Poland and moved to central New Jersey when he was 6..."
331,Pelosi announces House resolution to condemn Trump's 'xenophobic tweets',"“Not at all,” Trump told reporters at the White House on Monday when asked if his tweets about the lawmakers were racist. “If somebody has a problem with our country, if somebody doesn’t want to be in our country, they should leave.”
Rep. Sheila Jackson Lee (D-Texas) is also drafting a resolution to condemn Trump for his tweets. A spokesman for Jackson Lee said that her office is in discussions with House leadership."
332,"Support wanes for repeal of Obamacare, surveys suggest","By a substantial margin, Americans disagree with the Republican argument that President Obama’s healthcare law should be repealed and replaced, but several weeks of relatively good news about the law have done little to change entrenched, partisan views of it."
333,Getting Repeal Right,"Guy Benson highlighted some recent statements made by Rep. Cathy McMorris Rodgers (R-WA) and Sen. Rand Paul (R-KY) this morning about not fully repealing Obamacare, adding:"
334,"Unskew this! Desperate GOP Obamacare ploy fails, again",Conservatives want to make midterms into an Obamacare referendum. Trouble is its working -- and voters know it
335,Saudi Arabia sentences five to death in killing of Jamal Khashoggi,"Five people have been sentenced to death in the killing of journalist Jamal Khashoggi, but the two most senior officials implicated in the murder were cleared of wrongdoing because of ""insufficient evidence,"" Saudi Arabia's public prosecutor announced Monday.
The convicted defendants have not been named. Three others were sentenced to jail terms totaling 24 years.
Khashoggi, who wrote opinion columns for the Washington Post, was killed after he entered the Saudi Consulate in Istanbul in October 2018. He was one of Crown Prince Mohammed bin Salman’s most prominent critics.
The..."
